correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
0.0,0.0,european,eurpoean,ER P OW IY AH N,poten,P OW T AH N,"['posen', 'potion', 'spoken', 'peon', 'paean', 'pekin', 'odeon', 'serbian', 'erroneous', 'permian']"
1.0,1.0,europeans,europians,Y UH R OW P IY AH N Z,europeans,Y UH R AH P IY AH N Z,"['europeans', 'utopians', 'european', 'europium']"
0.0,1.0,february,febuary,F EH B EH R IY,fedeli,F EH D EH L IY,"['dewberry', 'fairly', 'feathery', 'forebear', 'belfry', 'farrier', 'feria', 'february', 'barry', 'berry', 'bury', 'barre', 'barrie']"
1.0,1.0,flemish,flemmish,F L EH M IH SH,flemish,F L EH M IH SH,"['flemish', 'blemish', 'fleming', 'flattish', 'flaming', 'flaring', 'fledging', 'flourish', 'blemished', 'fetish']"
1.0,1.0,franciscan,fransiscan,F R AE N Z IH S K AH N,franciscan,F R AE N S IH S K AH N,"['franciscan', 'franciscans']"
1.0,1.0,franciscans,fransiscans,F R AE N S IH S K AH N Z,franciscans,F R AE N S IH S K AH N Z,"['franciscans', 'franciscan']"
0.0,0.0,game,gae,G EY,gay,G EY,"['gay', 'ghee', 'guy', 'kay', 'quay', 'kaye', 'cay', 'quai', 'goy', 'go', 'gogh']"
1.0,0.0,galatians,galations,G AH L EY SH AH N Z,galatians,G AH L EY SH AH N Z,"['malaysians', 'relations', 'summations', 'solutions', 'galoshes', 'violations', 'aleutians', 'appalachians', 'appellations', 'oscillations']"
1.0,1.0,gandhi,ghandi,G AA N D IY,gandhi,G AA N D IY,"['gandhi', 'grundy', 'carney', 'connery', 'condo', 'condor', 'gunnery', 'candy', 'garner', 'monte']"
0.0,1.0,going,gogin,G OW G IH N,gogan,G OW G AH N,"['gauguin', 'goshen', 'gigging', 'going', 'goading', 'begin', 'given', 'hogan', 'gavin', 'colin']"
1.0,1.0,guatemala,guatamala,G W AA T AH M AA L AH,guatemala,G W AA T AH M AA L AH,"['guatemala', 'guatemalan', 'guatemalans']"
1.0,1.0,guatemalan,guatamalan,G W AA T AH M AA L AH N,guatemalan,G W AA T AH M AA L AH N,"['guatemalan', 'guatemala', 'guatemalans']"
1.0,1.0,guinness,guiness,G IH N AH S,guinness,G IH N AH S,"['guinness', 'gayness', 'grimace', 'guineas', 'venice', 'janus', 'janice', 'menace', 'vince', 'bonus']"
1.0,1.0,israelis,israelies,IH Z R AH L IY Z,israelis,IH Z R EY L IY Z,"['israelis', 'israelite', 'israeli', 'sinhalese', 'tyrannies', 'eerily']"
0.0,0.0,ithaca,ihaca,AY HH AA K AH,iraq,AY R AA K,"['iraq', 'parka', 'barca', 'markka', 'osaka', 'hock', 'hockey', 'dhaka', 'hama', 'lycra']"
0.0,0.0,jacques,jaques,JH AE K S,jacks,JH AE K S,"['jacks', 'japs', 'jerks', 'jokes', 'jakes', 'jocks', 'jacked', 'max', 'macs', 'macks']"
0.0,0.0,japanese,japanes,JH AH P EY N Z,japans,JH AH P AE N Z,"['japans', 'sprains', 'japan', 'germans', 'attains', 'pertains', 'plains', 'planes', 'jumpers', 'upturns']"
0.0,0.0,joseph,jospeh,JH AA S P AH,giampa,JH AA M P AH,"['jasper', 'wasp', 'josiah', 'joshua', 'wasps', 'jostle', 'pasta', 'gospel', 'gossip', 'chopra']"
1.0,1.0,judaism,juadaism,W AA D EY IH Z AH M,judaism,JH UW D EY IH Z AH M,['judaism']
0.0,0.0,judaism,juadism,W AA D IH Z AH M,sadism,S EY D IH Z AH M,"['sadism', 'buddhism', 'monism', 'modicum']"
1.0,1.0,libya,lybia,L IH B IY AH,libya,L IH B IY AH,"['libya', 'livia', 'lydia', 'tibia', 'lippi', 'lippy', 'libby', 'libyan', 'lamia', 'lobby']"
1.0,1.0,malcolm,malcom,M AE L K AH M,malcolm,M AE L K AH M,"['malcolm', 'talcum', 'amalgam', 'welcome', 'milken', 'markham', 'holcomb', 'falcon', 'mascot', 'valium']"
0.0,0.0,maltese,maltesian,M AO L T IY ZH AH N,,,[]
1.0,1.0,massachusetts,massachussets,M AE S AH CH UW S AH T S,massachusetts,M AE S AH CH UW S AH T S,['massachusetts']
1.0,1.0,massachusetts,massachussetts,M AE S AH CH UW S AH T S,massachusetts,M AE S AH CH UW S AH T S,['massachusetts']
1.0,1.0,mediterranean,mediteranean,M EH D IH T ER EY N IY AH N,mediterranean,M EH D AH T ER EY N IY AH N,['mediterranean']
1.0,1.0,michigan,michagan,M IH SH AA G AA N,michigan,M IH SH IH G AH N,['michigan']
0.0,1.0,veranda,meranda,M ER AE N D AH,miranda,M ER AE N D AH,"['miranda', 'veranda', 'manta', 'manned', 'mandy', 'banda', 'ganda', 'panda', 'mazda', 'meander']"
1.0,1.0,mississippi,missisipi,M IH S IH S IH P IY,mississippi,M IH S IH S IH P IY,"['mississippi', 'mississippian']"
1.0,1.0,mississippi,missisippi,M IH S IH S IH P IY,mississippi,M IH S IH S IH P IY,"['mississippi', 'mississippian']"
1.0,1.0,missouri,misouri,M AH Z UH R IY,missouri,M AH Z UH R IY,"['missouri', 'mezuzah', 'matures', 'metairie', 'mature', 'manure', 'imagery', 'marathi', 'murray', 'muzzy']"
0.0,0.0,muslim,mohammedan,M OW HH AE M AH D AH N,,,[]
0.0,0.0,muslim,muhammadan,M UH HH AA M AH D AH N,muhammad's,M UH HH AA M AH D Z,['muhammad']
0.0,0.0,muslims,mohammedans,M OW HH AE M AH D AH N Z,,,[]
0.0,0.0,nazareth,nazereth,N EY Z ER IH TH,naismith,N EY Z M IH TH,"['naismith', 'naismith', 'neighbouring']"
0.0,0.0,newfoundland,foundland,F AW N D L AH N D,wendland,W EH N D L AH N D,"['finland', 'foundation']"
1.0,1.0,nuremberg,nuremburg,N UH R AH M B ER G,nuremberg,N UH R AH M B ER G,"['nuremberg', 'nirenberg']"
0.0,1.0,original,orginal,AO R JH AH N AH L,arsenal,AA R S AH N AH L,"['arsenal', 'oriental', 'virginal', 'original', 'optional', 'orbital', 'regional', 'orphanage', 'marginal', 'oracle']"
0.0,0.0,palestinian,palistian,P AH L IH S CH AH N,policeman,P AH L IY S M AH N,['policeman']
1.0,1.0,palestinian,palistinian,P AE L IH S T IH N IY AH N,palestinian,P AE L IH S T IH N IY AH N,"['palestinian', 'palestinians']"
1.0,1.0,philippine,phillipine,F IH L AH P IY N,philippine,F IH L AH P IY N,"['philippine', 'philippines', 'filipino', 'guillotine', 'philippi', 'philistine', 'philips', 'filigree', 'philip', 'fillip']"
1.0,1.0,philippines,philipines,F IH L AH P IY N Z,philippines,F IH L AH P IY N Z,"['philippines', 'filipino', 'philippine', 'filipinos', 'philistines']"
1.0,1.0,philippines,phillipines,F IH L AH P IY N Z,philippines,F IH L AH P IY N Z,"['philippines', 'filipino', 'philippine', 'filipinos', 'philistines']"
1.0,1.0,philippines,phillippines,F IH L AH P IY N Z,philippines,F IH L AH P IY N Z,"['philippines', 'filipino', 'philippine', 'filipinos', 'philistines']"
1.0,1.0,portuguese,portugese,P AO R CH UW JH IY Z,portuguese,P AO R CH AH G IY Z,['portuguese']
1.0,1.0,puccini,pucini,P UW CH IY N IY,puccini,P UW CH IY N IY,"['puccini', 'eugenie', 'zucchini', 'houdini', 'cellini', 'plenary']"
1.0,1.0,rockefeller,rockerfeller,R AA K ER F EH L ER,rockefeller,R AA K AH F EH L ER,['rockefeller']
1.0,1.0,russian,russion,R AH SH AH N,russian,R AH SH AH N,"['russian', 'ration', 'ration', 'rushes', 'ashen', 'ocean', 'oven', 'rushing', 'lotion', 'russia']"
0.0,0.0,russian,russina,R UW S IY N AH,rufina,R UW F IY N AH,"['racine', 'rossini', 'routine', 'susannah', 'susana', 'messina', 'routines', 'regina', 'rowena', 'justina']"
1.0,1.0,saturday,saterday,S AE T ER D IY,saturday,S AE T ER D IY,"['saturday', 'saturday', 'sandy', 'sturdy', 'saturdays', 'sturdier', 'satirize', 'sadly', 'saturdays', 'satire']"
1.0,1.0,saturdays,saterdays,S AE T ER D IY Z,saturdays,S AE T ER D IY Z,"['saturdays', 'saturdays', 'saturday', 'satirize', 'satires', 'studies', 'salaries', 'batteries', 'sturdier', 'factories']"
0.0,1.0,sistine,sixtin,S IH K S T IH N,sixteen,S IH K S T IY N,"['sixteen', 'sixteen', 'sexton', 'sixty', 'sixties', 'cistern', 'sixteenth', 'sixteenth', 'sistine', 'sistine']"
1.0,1.0,spanish,spainish,S P EY N IH SH,spanish,S P AE N IH SH,"['spanish', 'spraining', 'spinning', 'spurning', 'slavish', 'spanning', 'spawning', 'spawning', 'spacing', 'staining']"
0.0,1.0,time,tiem,T IY M,team,T IY M,"['team', 'teem', 'tame', 'deem', 'diem', 'ream', 'tome', 'term', 'tim', 'time']"
1.0,1.0,ukrainian,ukranian,Y UW K R EY N IY AH N,ukrainian,Y UW K R EY N IY AH N,"['ukrainian', 'ukrainians']"
0.0,0.0,valletta,valetta,V AH L EH T AH,voleta,V OW L EH T AH,"['valera', 'walesa', 'vanessa', 'walesa', 'volta', 'vanilla', 'loretta', 'vesta', 'collect', 'molest']"
0.0,1.0,wednesday,wendsay,W EH N D S EY,wendler,W EH N D L ER,"['wednesday', 'wendell', 'wending', 'wends', 'wendy', 'wednesday', 'whence', 'wend']"
1.0,1.0,wednesday,wensday,W EH N Z D EY,wednesday,W EH N Z D EY,"['wednesday', 'wednesday', 'wednesdays', 'wendy', 'wednesdays', 'wends', 'wendell', 'wending', 'wenches', 'wend']"
1.0,1.0,zionist,sionist,S AY AH N AH S T,zionist,Z AY AH N IH S T,"['zionist', 'soonest', 'finest', 'psoriasis', 'scientist', 'sternest', 'scientists', 'science', 'sinus', 'silenced']"
1.0,1.0,zionists,sionists,S AY AH N IH S T S,zionists,Z AY AH N IH S T S,"['zionists', 'scientists', 'pianists', 'cyclists', 'scientists', 'agonists', 'zionist', 'arsonists', 'cyclists', 'signposts']"
1.0,1.0,abandon,abondon,AH B AA N D AH N,abandon,AH B AE N D AH N,"['abandon', 'rwandan', 'bonded', 'rwandan', 'brendan', 'brandon', 'branden', 'bronson', 'abundance', 'abundant']"
1.0,1.0,abandoned,abondoned,AH B AA N D AH N D,abandoned,AH B AE N D AH N D,"['abandoned', 'abundant', 'abundance', 'abandons', 'rwandan', 'bonded', 'abandon', 'unburdened']"
1.0,1.0,abandoning,abondoning,AH B AA N D AH N IH NG,abandoning,AH B AE N D AH N IH NG,['abandoning']
1.0,1.0,abandons,abondons,AH B AA N D AH N Z,abandons,AH B AE N D AH N Z,"['abandons', 'abundance', 'rwandans', 'abandoned', 'abundant', 'rwandans', 'abandon', 'londoners', 'rwandan', 'toboggans']"
1.0,1.0,aberration,aberation,AE B ER EY SH AH N,aberration,AE B ER EY SH AH N,"['aberration', 'adoration', 'apparition', 'aberrations', 'operation', 'liberation', 'alsatian', 'affirmation', 'aspiration', 'admiration']"
1.0,1.0,bout,baout,B AW T,bout,B AW T,"['bout', 'bowed', 'pout', 'bauer', 'bower', 'brow', 'bour', 'bat', 'batt', 'gout']"
0.0,0.0,bout,boaut,B OW AO T,brought,B R AO T,"['brought', 'bolt', 'boast', 'bolter', 'beaufort', 'broached', 'blot', 'boat', 'bought', 'poet']"
1.0,1.0,absence,absense,AE B S EH N S,absence,AE B S AH N S,"['absence', 'abscess', 'absinthe', 'absent', 'incense', 'incense', 'accent', 'obsess', 'accents', 'access']"
0.0,1.0,absorbed,asorbed,AH S AO R B D,sorber,S AO R B ER,"['assorted', 'sorbet', 'adorned', 'assort', 'astride', 'absorbed', 'shorebird', 'songbird', 'sword', 'soared']"
1.0,1.0,absorption,absorbsion,AH B Z AO R B SH AH N,absorption,AH B Z AO R P SH AH N,"['absorption', 'absorption', 'abortion', 'absorbent']"
1.0,1.0,absorption,absorbtion,AH B Z AO R B SH AH N,absorption,AH B Z AO R P SH AH N,"['absorption', 'absorption', 'abortion', 'absorbent']"
1.0,1.0,abuts,abutts,AH B AH T S,abuts,AH B AH T S,"['abuts', 'abates', 'rabbits', 'robots', 'orbits', 'aborts', 'averts', 'obits', 'obits', 'bets']"
1.0,1.0,acceptable,acceptible,AE K S EH P T AH B AH L,acceptable,AE K S EH P T AH B AH L,"['acceptable', 'acceptable', 'acceptably', 'susceptible', 'perceptible', 'accessible', 'acceptably', 'unacceptable']"
1.0,1.0,accessible,accessable,AE K S EH S AH B AH L,accessible,AE K S EH S AH B AH L,"['accessible', 'addressable', 'acceptable']"
0.0,1.0,ascension,accension,AH K S EH N SH AH N,accession,AH K S EH SH AH N,"['accession', 'ascension', 'exception', 'dissension', 'extension', 'asuncion', 'attention', 'obsession', 'succession']"
0.0,1.0,accidentally,accidently,AE K S AH D AH N T L IY,accidently,AE K S AH D AH N T L IY,"['accidentally', 'excellently', 'accidentally', 'accidents', 'accidental', 'accident']"
1.0,0.0,acclimatization,acclimitization,AH K L IH M AH T AH Z EY SH AH N,acclimatization,AE K L AH M AH T AH Z EY SH AH N,[]
1.0,1.0,accommodate,accomadate,AE K OW M AH D EY T,accommodate,AH K AA M AH D EY T,['accommodate']
1.0,1.0,accommodate,accomodate,AH K AA M AH D EY T,accommodate,AH K AA M AH D EY T,"['accommodate', 'accommodates', 'accommodated', 'accommodating', 'accommodative']"
1.0,1.0,accommodated,accomadated,AH K AA M AH D EY T IH D,accommodated,AH K AA M AH D EY T AH D,"['accommodated', 'accommodative', 'accommodating', 'accommodates', 'accommodate']"
1.0,1.0,accommodated,accomodated,AH K AA M AH D EY T IH D,accommodated,AH K AA M AH D EY T AH D,"['accommodated', 'accommodative', 'accommodating', 'accommodates', 'accommodate']"
0.0,0.0,accommodates,accomadates,AE K OW M AE D AH T S,,,[]
1.0,1.0,accommodates,accomodates,AH K AA M AH D EY T S,accommodates,AH K AA M AH D EY T S,"['accommodates', 'accommodate', 'accommodated', 'accommodating', 'accommodative']"
1.0,1.0,accommodating,accomadating,AH K AA M AH D EY T IH NG,accommodating,AH K AA M AH D EY T IH NG,"['accommodating', 'accommodative', 'accommodates', 'accommodated', 'accommodate']"
1.0,1.0,accommodating,accomodating,AH K AA M AH D EY T IH NG,accommodating,AH K AA M AH D EY T IH NG,"['accommodating', 'accommodative', 'accommodates', 'accommodated', 'accommodate']"
1.0,1.0,accommodation,accomadation,AH K AA M AH D EY SH AH N,accommodation,AH K AA M AH D EY SH AH N,"['accommodation', 'accommodations', 'abomination', 'accommodated', 'commendation', 'commutation']"
1.0,1.0,accommodation,accomodation,AH K AA M AH D EY SH AH N,accommodation,AH K AA M AH D EY SH AH N,"['accommodation', 'accommodations', 'abomination', 'accommodated', 'commendation', 'commutation']"
1.0,1.0,accommodations,accomodations,AH K AA M AH D EY SH AH N Z,accommodations,AH K AA M AH D EY SH AH N Z,"['accommodations', 'accommodation', 'abominations']"
1.0,1.0,accompanied,accompanyed,AH K AH M P AH N IY D,accompanied,AH K AH M P AH N IY D,"['accompanied', 'accompanies', 'accompany', 'companies', 'accompanying', 'company', 'compagnie', 'unaccompanied']"
1.0,1.0,accomplish,acomplish,AH K AA M P L IH SH,accomplish,AH K AA M P L IH SH,"['accomplish', 'accomplished', 'accomplice', 'accomplishing', 'accomplishes']"
1.0,1.0,accomplished,acomplished,AH K AA M P L IH SH T,accomplished,AH K AA M P L IH SH T,"['accomplished', 'accomplish', 'accomplishes', 'accomplishing']"
1.0,1.0,accomplishment,acomplishment,AH K AA M P L IH SH M AH N T,accomplishment,AH K AA M P L IH SH M AH N T,"['accomplishment', 'accomplishments']"
1.0,1.0,accomplishments,acomplishments,AH K AA M P L IH SH M AH N T S,accomplishments,AH K AA M P L IH SH M AH N T S,"['accomplishments', 'accomplishment']"
1.0,1.0,according,acording,AH K AO R D IH NG,according,AH K AO R D IH NG,"['according', 'affording', 'awarding', 'recording', 'accorded', 'courting', 'recording', 'cording', 'aborting', 'boarding']"
1.0,1.0,accuracy,acuracy,AE K Y ER AH S IY,accuracy,AE K Y ER AH S IY,"['accuracy', 'accuracies', 'accurately', 'accurate', 'inaccuracy']"
0.0,0.0,accused,accussed,AH K AH S T,ruckus,R AH K AH S,"['ruckus', 'accost', 'occult', 'adjust', 'crust', 'custer', 'roughest', 'aghast', 'august', 'augusta']"
1.0,1.0,accustom,acustom,AH K AH S T AH M,accustom,AH K AH S T AH M,"['accustom', 'customer', 'custom', 'accustomed', 'augustus', 'accosted', 'crustal', 'augusta', 'customs', 'acosta']"
1.0,1.0,accustomed,acustommed,AH K AH S T AH M D,accustomed,AH K AH S T AH M D,"['accustomed', 'accustom', 'customs', 'customer', 'customers', 'accosted', 'custom', 'custody', 'unaccustomed']"
1.0,1.0,achieve,acheive,AH CH IY V,achieve,AH CH IY V,"['achieve', 'cheever', 'receive', 'chief', 'achieved', 'achieves', 'achiever', 'cheap', 'achaean', 'reeve']"
0.0,0.0,archive,achive,AH CH AY V,achieve,AH CH IY V,"['achieve', 'alive', 'achiever', 'jive', 'chime', 'unnerve', 'chide', 'five', 'dive', 'vive']"
1.0,1.0,achieved,acheived,AH CH IY V D,achieved,AH CH IY V D,"['achieved', 'achiever', 'achieves', 'received', 'achievers', 'aggrieved', 'unpaved', 'achieve', 'receive', 'peeved']"
0.0,0.0,archived,achived,AH CH AY V D,achieved,AH CH IY V D,"['achieved', 'achiever', 'chimed', 'chives', 'achieves', 'unpaved', 'child', 'dived', 'arrived', 'assigned']"
1.0,1.0,achievement,acheivement,AH CH AY V M AH N T,achievement,AH CH IY V M AH N T,"['achievement', 'assignment', 'alignment', 'achievements', 'attachment']"
1.0,1.0,achievement,acheivment,AH CH AY V M AH N T,achievement,AH CH IY V M AH N T,"['achievement', 'assignment', 'alignment', 'achievements', 'attachment']"
1.0,1.0,achievement,achievment,AH CH IY V M AH N T,achievement,AH CH IY V M AH N T,"['achievement', 'achievements', 'appeasement', 'bereavement', 'agreement', 'attachment']"
1.0,1.0,achievements,acheivements,AH CH AY V M AH N T S,achievements,AH CH IY V M AH N T S,"['achievements', 'assignments', 'alignments', 'achievement', 'attachments']"
1.0,1.0,achievements,acheivments,AH CH AY V M AH N T S,achievements,AH CH IY V M AH N T S,"['achievements', 'assignments', 'alignments', 'achievement', 'attachments']"
1.0,1.0,achievements,achievments,AH CH IY V M AH N T S,achievements,AH CH IY V M AH N T S,"['achievements', 'achievement', 'agreements', 'attachments']"
1.0,1.0,achieves,acheives,AH CH IY V Z,achieves,AH CH IY V Z,"['achieves', 'achieved', 'achiever', 'receives', 'jeeves', 'achieve', 'achievers', 'chives', 'reeves', 'reaves']"
1.0,1.0,achieving,acheiving,AH CH IY V IH NG,achieving,AH CH IY V IH NG,"['achieving', 'receiving', 'weaving', 'unnerving', 'cheating', 'achieves', 'achieved', 'achiever', 'thieving', 'heaving']"
1.0,1.0,acquaintance,acquaintence,AH K W EY N T AH N S,acquaintance,AH K W EY N T AH N S,"['acquaintance', 'acquaintances']"
0.0,0.0,acquaintance,acquiantence,AE K W IY AH N T EH N S,,,[]
1.0,1.0,acquaintance,aquaintance,AH K W EY N T AH N S,acquaintance,AH K W EY N T AH N S,"['acquaintance', 'acquaintances']"
0.0,0.0,acquaintance,aquiantance,AE K W IY EH N T AH N S,acquiescence,AE K W IY EH S AH N S,['acquiescence']
1.0,1.0,acquaintances,acquaintences,AH K W EY N T AH N S IH Z,acquaintances,AH K W EY N T AH N S IH Z,"['acquaintances', 'acquaintanceship', 'acquaintance']"
0.0,0.0,acquaintances,acquiantences,AE K W IY AH N T EH N S IH Z,,,[]
1.0,1.0,acquainted,aquainted,AH K W EY N T IH D,acquainted,AH K W EY N T IH D,"['acquainted', 'acquainted', 'unwanted', 'untainted', 'unpainted', 'acquitted', 'equated', 'accounted', 'uncounted', 'awaited']"
0.0,1.0,acquire,adquire,AH D K W AY R,acquirer,AH K W AY ER ER,"['acquirer', 'require', 'esquire', 'acquires', 'acquired', 'inquire', 'squire', 'reacquire', 'acquire', 'acquiring']"
1.0,1.0,acquire,aquire,AH K W AY R,acquire,AH K W AY ER,"['acquire', 'squire', 'acquirer', 'require', 'acquires', 'acquired', 'choir', 'queer', 'quite', 'quire']"
0.0,1.0,acquired,adquired,AE D K W AY ER D,required,R IY K W AY ER D,"['required', 'inquired', 'acquired', 'backfired']"
1.0,1.0,acquired,aquired,AH K W AY ER D,acquired,AH K W AY ER D,"['acquired', 'acquirer', 'acquires', 'required', 'acquirers', 'require', 'acquire', 'require', 'inquired', 'acquiring']"
0.0,1.0,acquires,adquires,AH D K W AY R Z,acquirers,AH K W AY ER ER Z,"['acquirers', 'requires', 'acquiring', 'acquires', 'admirers', 'choirs']"
0.0,1.0,acquiring,adquiring,AE D K W AY R IH NG,requiring,R IY K W AY R IH NG,"['requiring', 'acquiring', 'admiring']"
1.0,1.0,acquiring,aquiring,AH K W AY R IH NG,acquiring,AH K W AY R IH NG,"['acquiring', 'acquiring', 'requiring', 'acquitting', 'squaring', 'aspiring', 'accruing', 'quieting', 'uncaring', 'quarrying']"
1.0,1.0,acquisition,aquisition,AE K W AH Z IH SH AH N,acquisition,AE K W AH Z IH SH AH N,"['acquisition', 'requisition', 'acquisitions', 'accusation', 'inquisition']"
1.0,1.0,acquitted,acquited,AH K W AY T IH D,acquitted,AH K W IH T IH D,"['acquitted', 'equated', 'quieted', 'quoted', 'excited', 'squirted', 'acquainted', 'acquired', 'whited', 'acquiring']"
1.0,1.0,acquitted,aquitted,AH K W IH T IH D,acquitted,AH K W IH T IH D,"['acquitted', 'acquitting', 'equated', 'quoted', 'squirted', 'acquainted', 'acquittal', 'aquatic', 'acquits', 'accreted']"
1.0,1.0,across,accross,AH K R AO S,across,AH K R AO S,"['across', 'cos', 'coss', 'crosser', 'crosse', 'accrues', 'cost', 'cross', 'lacrosse', 'cress']"
1.0,1.0,actually,actualy,AE K CH UW AH L IY,actually,AE K CH UW AH L IY,"['actually', 'actuary', 'factually', 'annually', 'virtually', 'actualize', 'actually', 'naturally', 'naturally', 'actually']"
0.0,0.0,adaptation,adaption,AH D AE P SH AH N,adoption,AH D AA P SH AH N,"['adoption', 'addiction', 'caption', 'admission', 'eruption', 'edition', 'addition', 'apparition', 'eruption', 'adoptions']"
0.0,0.0,adaptations,adaptions,AH D AE P SH AH N Z,adoptions,AH D AA P SH AH N Z,"['adoptions', 'addictions', 'captions', 'admissions', 'eruptions', 'additions', 'apparitions', 'eruptions', 'adoption', 'corruptions']"
0.0,1.0,address,addres,AE D R EY Z,adders,AE D ER Z,"['address', 'address', 'padres', 'andres', 'advise', 'strays', 'prayers', 'appraise', 'grazer', 'iras']"
1.0,1.0,additionally,additinally,AH D IH T AH N AH L IY,additionally,AH D IH SH AH N AH L IY,"['additionally', 'medicinally', 'additional']"
0.0,0.0,address,adres,EY D R EY Z,adas,EY D AH Z,"['adas', 'strays', 'iras', 'prayers', 'appraise', 'fraser', 'frazer', 'grazer', 'days', 'daze', 'dais']"
1.0,1.0,address,adress,AH D R EH S,address,AE D R EH S,"['address', 'address', 'oppress', 'attests', 'dresser', 'redress', 'redress', 'aggressor', 'assess', 'adele']"
1.0,1.0,addressable,addresable,AH D R EH Z AH B AH L,addressable,AE D R EH S AH B AH L,"['addressable', 'advisable', 'adorable']"
1.0,1.0,addressable,adresable,AH D R EH S AH B AH L,addressable,AE D R EH S AH B AH L,"['addressable', 'admissible', 'adorable', 'decibels']"
1.0,1.0,addressable,adressable,AH D R EH S AH B AH L,addressable,AE D R EH S AH B AH L,"['addressable', 'admissible', 'adorable', 'decibels']"
0.0,1.0,addressing,addresing,AH D R IY S IH NG,diesing,D IY S IH NG,"['addressing', 'dressing', 'greasing', 'dreaming', 'oppressing', 'unceasing', 'adoring', 'releasing', 'adhesive', 'agreeing']"
